Client_ID,Age,Gender,Education,Income,Loan_Amount,Loan_Purpose,Credit_Score,Interest_Rate,Loan_Term_Years,Employment_Type,Default_Status
20001,59,Male,Graduate,55017,155759,Business,470,18.35,10,Business,1
20002,49,Male,Graduate,134383,593687,Car,800,13.32,1,Salaried,1
20003,35,Female,Graduate,40242,717178,Business,725,11.13,10,Salaried,0
20004,63,Male,Graduate,136313,615516,Car,421,11.53,5,Salaried,0
20005,28,Male,Graduate,117544,539680,Personal,587,14.92,7,Self-Employed,0
20006,41,Female,Graduate,120151,773924,Business,373,10.74,15,Salaried,0
20007,59,Male,Post Graduate,132457,573085,Personal,677,27.97,15,Salaried,0
20008,39,Male,Post Graduate,28770,826496,Home,657,16.92,10,Self-Employed,0
20009,43,Male,Graduate,152208,158631,Home,376,18.78,7,Salaried,0
20010,31,Male,Under Graduate,31602,798443,Personal,824,20.33,10,Self-Employed,0
20011,31,Female,Graduate,121437,328842,Education,590,11.92,7,Salaried,0
20012,44,Female,Graduate,30466,366292,Personal,429,17.64,1,Salaried,0
20013,56,Female,Post Graduate,161485,689567,Home,360,9.26,15,Self-Employed,1
20014,60,Female,Post Graduate,152229,227619,Personal,724,27.38,7,Salaried,0
20015,44,Male,Post Graduate,158524,474851,Business,777,17.46,5,Salaried,0
20016,23,Female,Graduate,46225,377259,Personal,815,8.59,5,Business,1
20017,42,Female,Under Graduate,60043,472532,Personal,771,19.98,3,Salaried,0
20018,22,Male,Post Graduate,165550,235757,Personal,313,10,5,Business,0
20019,44,Male,Graduate,107333,426481,Education,441,23.8,10,Self-Employed,0
20020,64,Male,Graduate,156683,762560,Personal,786,27.07,3,Business,0
20021,50,Female,Under Graduate,169779,697003,Home,340,26.33,10,Business,1
20022,58,Male,Post Graduate,151305,253382,Education,582,16.56,3,Self-Employed,0
20023,22,Male,Graduate,85567,454670,Personal,640,22.25,10,Salaried,0
20024,41,Male,Graduate,179086,177265,Business,339,11.12,7,Business,0
20025,53,Female,Graduate,111483,442030,Personal,334,9.51,10,Business,0
20026,32,Female,Post Graduate,28951,540099,Education,773,24.42,5,Business,0
20027,42,Female,Under Graduate,87330,767034,Education,394,21.9,5,Business,0
20028,64,Female,Graduate,82831,75829,Personal,310,26.14,7,Salaried,0
20029,45,Female,Graduate,48936,1067261,Home,549,26.29,5,Salaried,0
20030,47,Female,Under Graduate,35574,541715,Car,689,14.95,15,Salaried,0
20031,62,Female,Post Graduate,118585,891170,Home,680,14.37,10,Salaried,0
20032,48,Male,Post Graduate,155143,321125,Home,320,16.84,5,Salaried,0
20033,36,Male,Graduate,172081,437228,Business,547,21.31,3,Salaried,0
20034,35,Male,Post Graduate,179703,947377,Personal,711,8.1,7,Self-Employed,0
20035,64,Female,Post Graduate,42362,1009276,Education,778,18.69,7,Salaried,0
20036,23,Female,Graduate,67105,211452,Personal,758,8.39,15,Business,0
20037,57,Male,Under Graduate,61775,546450,Car,550,17.01,10,Salaried,1
20038,27,Male,Under Graduate,37854,797003,Personal,632,9.65,3,Self-Employed,0
20039,41,Female,Under Graduate,148362,869604,Business,662,19.24,3,Salaried,0
